x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
-3.313057869672775269e-02,5.442210938781499863e-03,2.994257926940917969e+00,2.351914159953594208e-02,-1.146830245852470398e-02,1.316084433346986771e-02,-5.746109121821665281e-04,1.959191958260732367e-03,-2.528182272055583102e+00,0.000000000000000000e+00,-4.703828319907177313e-04,2.293660491704940102e-04,-2.632168866694151177e-04,1.149221824364374256e-05,-3.918383916521467336e-05,5.056364544111166537e-02
-3.313057869672775269e-02,5.442210938781499863e-03,2.994257926940917969e+00,2.351914159953594208e-02,-1.146830245852470398e-02,1.316084433346986771e-02,1.555046817038594625e-02,9.709268760132373777e-03,-2.528182269660399495e+00,-1.209227787094837644e-23,1.198644079267979778e-03,-1.701410235837102006e-03,-7.971527967602032305e-03,3.335874750142468065e-03,3.598592747967489444e-03,4.113394239227505939e-02
-3.146155178546905518e-02,3.511434653773903847e-03,2.986549615859985352e+00,2.716602571308612823e-02,-7.675524335354566574e-03,3.731141332536935806e-03,2.090580302230435339e-02,1.432095500068481658e-02,-2.478475142599645853e+00,-2.768962685219022367e-23,-5.433205142617233974e-04,1.535104867070912274e-04,-7.462282665082753397e-05,-4.181160604460887331e-04,-2.864191000136965398e-04,4.956950285199291512e-02
-3.146155178546905518e-02,3.511434653773903847e-03,2.986549615859985352e+00,2.716602571308612823e-02,-7.675524335354566574e-03,3.731141332536935806e-03,4.309681211122662337e-02,2.496819368703772149e-02,-2.478475142483012927e+00,-1.759136437526374764e-23,3.783211149275302054e-03,3.197391405701637164e-03,-6.707189278677194721e-03,-2.254070647972408747e-04,9.529903748723648343e-04,5.963268028997574521e-02
-2.713502012193202972e-02,6.555315572768449783e-03,2.979917049407958984e+00,2.780255489051342010e-02,-6.223170086741447449e-03,1.379431877285242081e-02,6.228882757868405701e-02,3.385273572708315942e-02,-2.502277731535377914e+00,-4.383458746340806380e-23,-5.560510978102686797e-04,1.244634017348285673e-04,-2.758863754568352533e-04,-1.245776551573679614e-03,-6.770547145416635354e-04,5.004555463070756161e-02
-2.713502012193202972e-02,6.555315572768449783e-03,2.979917049407958984e+00,2.780255489051342010e-02,-6.223170086741447449e-03,1.379431877285242081e-02,9.787528130887002131e-02,5.088078924053865415e-02,-2.502277731463852906e+00,-4.094956933993180984e-23,8.373203389346599301e-03,1.471385415643453216e-03,-3.675735313445116503e-03,3.656133436206882026e-04,1.293563946020686445e-04,1.063382738369811342e-01
-1.820576563477516174e-02,7.902237586677074432e-03,2.976517200469970703e+00,3.012567386031150818e-02,-5.076197907328605652e-03,7.008703798055648804e-02,1.129726534810318039e-01,6.748768215815766081e-02,-2.701758037982568972e+00,-2.536065068202014714e-23,-6.025134772062318289e-04,1.015239581465716967e-04,-1.401740759610969889e-03,-2.259453069620637189e-03,-1.349753643163153355e-03,5.403516075965138221e-02
-1.820576563477516174e-02,7.902237586677074432e-03,2.976517200469970703e+00,3.012567386031150818e-02,-5.076197907328605652e-03,7.008703798055648804e-02,1.569699187361326409e-01,8.846124928991327963e-02,-2.701758037976025317e+00,2.027014159372835367e-23,-9.013079032301904436e-03,-3.772906009107828557e-03,1.654187992215172542e-02,1.118943712546179026e-03,2.135551876226403356e-04,9.531420103652474274e-02
-2.661633118987083435e-02,4.027807619422674179e-03,2.994460821151733398e+00,3.438401594758033752e-02,-3.093417733907699585e-03,1.113660782575607300e-01,2.164564751730591874e-01,1.136536982870716833e-01,-2.888257477518593852e+00,4.592974174634203116e-23,-6.876803189516077219e-04,6.186835467815367945e-05,-2.227321565151374472e-03,-4.329129503461183470e-03,-2.273073965741433892e-03,5.776514955037187482e-02
-2.661633118987083435e-02,4.027807619422674179e-03,2.994460821151733398e+00,3.438401594758033752e-02,-3.093417733907699585e-03,1.113660782575607300e-01,2.746225975018696253e-01,1.412497315211272142e-01,-2.888257477756867253e+00,-2.787743860779358318e-23,-1.667531870305538275e-02,-5.683156764134764984e-03,2.344487577676757084e-02,8.413151488578407555e-03,3.278540086690235212e-03,2.556551345341463027e-02
