x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
-4.017229557037353516e+00,2.385366916656494141e+00,3.164418697357177734e+00,-4.004411399364471436e-01,3.867210447788238525e-01,-3.419391065835952759e-02,1.703368643272244742e-01,2.926718744185298482e-03,-2.656736969433078244e+00,8.666325435438072538e-27,8.008822798728942871e-03,-7.734420895576299415e-03,6.838782131670662068e-04,-3.406737286544503363e-03,-5.853437488367863040e-05,5.313473938866156154e-02
-4.017229557037353516e+00,2.385366916656494141e+00,3.164418697357177734e+00,-4.004411399364471436e-01,3.867210447788238525e-01,-3.419391065835952759e-02,1.491266921189454697e-01,1.766382339565225482e-03,-2.656736969436984008e+00,-1.237074525431066526e-25,-8.094921708106994629e-03,-2.547863125800908790e-03,6.638510525225349568e-04,2.864324182218269677e-03,-3.816974136888362512e-03,5.466163157395086125e-02
-4.033333301544189453e+00,2.390553474426269531e+00,3.164398670196533203e+00,-3.945942819118499756e-01,3.829393982887268066e-01,-3.266701847314834595e-02,1.471306375886672346e-01,1.165788368455117395e-03,-2.662289784426094208e+00,-1.246125335770156153e-22,-3.793008923530294396e-03,-3.323622941970860722e-03,5.942125618458860004e-04,1.633235827633416903e-03,-2.569089750370789904e-03,5.416231023420098323e-02
-4.045018196105957031e+00,2.394888639450073242e+00,3.164339542388916016e+00,-3.900184333324432373e-01,3.803936243057250977e-01,-3.175050392746925354e-02,1.392259997669361982e-01,-6.704163520447415162e-04,-2.665530140766674716e+00,-3.505251431755071118e-24,7.800368666648793692e-03,-7.607872486114608535e-03,6.350100785494916522e-04,-2.784519995338741172e-03,1.340832704088690264e-05,5.331060281533349376e-02
-4.045018196105957031e+00,2.394888639450073242e+00,3.164339542388916016e+00,-3.900184333324432373e-01,3.803936243057250977e-01,-3.175050392746925354e-02,1.163807173671263934e-01,-2.167074219594407065e-03,-2.665530140772956802e+00,-1.138150192744411652e-22,-1.635620176792151881e-02,7.827925682066805280e-04,-4.934250563382036603e-04,6.291723926659553712e-03,-4.989644918119706674e-03,5.408949954957759099e-02
-4.069174766540527344e+00,2.403279304504394531e+00,3.163211107254028320e+00,-3.813990950584411621e-01,3.753606379032135010e-01,-3.097160719335079193e-02,1.175528793132834954e-01,-5.037445160598962718e-03,-2.666161942911146276e+00,-5.917017338592871850e-23,7.627981901168645607e-03,-7.507212758064429892e-03,6.194321438668382029e-04,-2.351057586265692390e-03,1.007489032119890382e-04,5.332323885822293219e-02
-4.069174766540527344e+00,2.403279304504394531e+00,3.163211107254028320e+00,-3.813990950584411621e-01,3.753606379032135010e-01,-3.097160719335079193e-02,9.228490507478744054e-02,-6.920319749212477077e-03,-2.666161942919323291e+00,-1.227041486028764885e-22,-1.418016552925127627e-02,-1.519568562507789267e-03,-1.750210113823591485e-03,4.255075709844569065e-03,-4.357482553456304419e-03,5.283071264009137069e-02
-4.090982913970947266e+00,2.409266948699951172e+00,3.160841464996337891e+00,-3.752983212471008301e-01,3.708647489547729492e-01,-3.146413341164588928e-02,1.019737809233889625e-01,-7.737276432480411255e-03,-2.659694318334367757e+00,-9.010115385715012282e-23,7.505966424941945547e-03,-7.417294979095601093e-03,6.292826682328112042e-04,-2.039475618467789797e-03,1.547455286496357552e-04,5.319388636668735681e-02
-4.090982913970947266e+00,2.409266948699951172e+00,3.160841464996337891e+00,-3.752983212471008301e-01,3.708647489547729492e-01,-3.146413341164588928e-02,8.071454593058016713e-02,-9.488272409701273627e-03,-2.659694318340460217e+00,-8.723915234012552120e-24,-9.085105657577585703e-03,-1.852843761444233905e-03,-1.191520020365821608e-03,3.376376186109475430e-03,-2.970711236376266662e-03,5.268298142882664459e-02
-4.107573986053466797e+00,2.414831399917602539e+00,3.159020662307739258e+00,-3.703076541423797607e-01,3.677042722702026367e-01,-3.197503834962844849e-02,8.620112856262344969e-02,-1.192014644647168553e-02,-2.654239566047535970e+00,-9.424017538913726044e-26,7.406153082847310998e-03,-7.354085445403946153e-03,6.395007669923735705e-04,-1.724022571252481484e-03,2.384029289294598009e-04,5.308479132095073050e-02
-4.107573986053466797e+00,2.414831399917602539e+00,3.159020662307739258e+00,-3.703076541423797607e-01,3.677042722702026367e-01,-3.197503834962844849e-02,6.452175699120246688e-02,-1.385407879254167522e-02,-2.654239566051701082e+00,-1.370291607587463855e-25,-1.235254824161557963e-02,4.658055305482022845e-04,-1.557288020849423305e-03,4.931157286475973400e-03,-3.213992270966192777e-03,5.275147842215974214e-02
-4.127332687377929688e+00,2.422651290893554688e+00,3.156823873519897461e+00,-3.640860617160797119e-01,3.642131984233856201e-01,-3.230835124850273132e-02,7.378563212738249721e-02,-1.841576182989347957e-02,-2.648695254756495032e+00,-2.288565205361162548e-25,7.281721234321913983e-03,-7.284263968467818984e-03,6.461670249700013358e-04,-1.475712642547644116e-03,3.683152365978603626e-04,5.297390509512989176e-02
-4.127332687377929688e+00,2.422651290893554688e+00,3.156823873519897461e+00,-3.640860617160797119e-01,3.642131984233856201e-01,-3.230835124850273132e-02,5.071051769814282489e-02,-2.063931724976772464e-02,-2.648695254758263395e+00,2.316153234420867401e-25,-1.204782664775816414e-02,-9.091895818711392963e-04,-8.336970955133971017e-04,4.184506763346695912e-03,-3.819262643346921227e-03,5.364257980257798597e-02
-4.146662235260009766e+00,2.429026365280151367e+00,3.155344009399414062e+00,-3.588873445987701416e-01,3.599811494350433350e-01,-3.163967654109001160e-02,5.816573529204885351e-02,-2.278439052930274211e-02,-2.648231713570598167e+00,5.420454890715361376e-26,7.177746891975367305e-03,-7.199622988701026571e-03,6.327935308219068133e-04,-1.163314705840967633e-03,4.556878105860806549e-04,5.296463427141195890e-02
-4.146662235260009766e+00,2.429026365280151367e+00,3.155344009399414062e+00,-3.588873445987701416e-01,3.599811494350433350e-01,-3.163967654109001160e-02,3.426100954360448980e-02,-2.528047463569832107e-02,-2.648231713572227086e+00,-2.529272646528429085e-25,-1.122912108898166395e-02,1.675111055372546787e-04,-7.965258508919603742e-04,4.311973622451892307e-03,-3.254430313652023621e-03,5.417517294186519061e-02
-4.165069103240966797e+00,2.436393499374389648e+00,3.153914690017700195e+00,-3.538901507854461670e-01,3.562211096286773682e-01,-3.042913787066936493e-02,4.035552242071625828e-02,-2.953721626767794387e-02,-2.649852223156756281e+00,2.139050963135438211e-25,7.077803015708816758e-03,-7.124422192573476309e-03,6.085827574136004614e-04,-8.071104484143054592e-04,5.907443253535538119e-04,5.299704446313513451e-02
