component,mse_nom,mse_gp,rmse_nom,rmse_gp,improvement_%,r2_nom,r2_gp,frac_better
dx,0.00276253431643614,0.0027550278036915328,0.05255981655634026,0.05248835874450194,0.2717255926902336,-0.004186981515939658,-0.0014583484886976361,0.481437125748503
dy,0.0012236858539880434,0.0012184840196455087,0.03498122144791464,0.03490679045179474,0.42509556889799527,-0.006613821444017454,-0.0023347506931441497,0.4754491017964072
dz,0.00015186177713625654,0.0007280337219204948,0.01232322105361486,0.026982100027990685,-379.40550653985406,-0.05358825441280213,-4.050960107912099,0.12694610778443113
dvx,0.0219777077255357,0.02198279567369982,0.1482488034539763,0.14826596262696243,-0.023150495163830644,-2.0559992620849954e-05,-0.0002520697039991582,0.4598802395209581
dvy,0.0010701895516889055,0.001074236952972751,0.03271375172139242,0.03277555419779734,-0.3781948045986873,-6.537530204098196e-05,-0.0038475705940239635,0.45868263473053894
dvz,0.005049394160763253,0.0026133167642320124,0.07105908921991087,0.05112060997515593,48.24494422441779,-1.2183925779129186,-0.14813031602020854,0.925748502994012
