x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
1.810510009527206421e-01,7.553973793983459473e-02,2.942485570907592773e+00,-1.503403782844543457e-01,2.339567430317401886e-02,8.610711991786956787e-02,-2.428846175825601431e-02,-1.257874476812832487e-01,-2.660546489808054638e+00,0.000000000000000000e+00,3.006807565689079143e-03,-4.679134860634814874e-04,-1.722142398357551230e-03,4.857692351651066165e-04,2.515748953625666223e-03,5.321092979616109248e-02
1.810510009527206421e-01,7.553973793983459473e-02,2.942485570907592773e+00,-1.503403782844543457e-01,2.339567430317401886e-02,8.610711991786956787e-02,-1.823607927154442809e-02,5.071803914382978784e-02,-2.660546488149349909e+00,-8.894897137563370232e-24,-3.246987700462342086e-02,1.263164516538381466e-02,1.764698296785338627e-02,-1.365157885440371199e-02,-2.975296890102325370e-02,2.540319485631356566e-02
1.455743163824081421e-01,8.863929659128189087e-02,2.961854696273803711e+00,-1.643566787242889404e-01,-5.342933814972639084e-03,5.829938501119613647e-02,1.109763489142977094e-01,1.883256663939718856e-01,-2.596821733428372525e+00,1.866078848745797813e-24,3.287133574485789911e-03,1.068586762994483408e-04,-1.165987700224135892e-03,-2.219526978285951690e-03,-3.766513327879437989e-03,5.193643466856745494e-02
1.455743163824081421e-01,8.863929659128189087e-02,2.961854696273803711e+00,-1.643566787242889404e-01,-5.342933814972639084e-03,5.829938501119613647e-02,1.254502509576670422e-01,2.997272723401980810e-01,-2.596821733392272069e+00,-3.471693444041262996e-23,-2.328063100576399647e-02,1.818346477113663706e-02,5.016682893037582858e-03,-2.146593877757785318e-03,-1.865107441516796263e-02,3.640957371546812288e-02
1.190065518021583557e-01,1.067159026861190796e-01,2.968037366867065430e+00,-1.639942675828933716e-01,-1.799946278333663940e-02,4.277252405881881714e-02,2.063137035500006711e-01,4.146983159835201382e-01,-2.552122995490829549e+00,-3.594097050247152052e-23,-8.801678121089936968e-03,1.306045755743980019e-02,1.618619114160502193e-03,1.300848045088842664e-03,-1.244681004833194000e-02,4.658639803995689999e-02
1.069249883294105530e-01,1.194163709878921509e-01,2.970511436462402344e+00,-1.585671454668045044e-01,-2.215230651199817657e-02,3.831646218895912170e-02,2.448020171957802360e-01,5.203620357023261978e-01,-2.540671981731368323e+00,-6.614506075773832306e-24,3.171342909336086202e-03,4.430461302399602008e-04,-7.663292437793955969e-04,-4.896040343915608606e-03,-1.040724071404652493e-02,5.081343963462736646e-02
1.069249883294105530e-01,1.194163709878921509e-01,2.970511436462402344e+00,-1.585671454668045044e-01,-2.215230651199817657e-02,3.831646218895912170e-02,2.719620552071904673e-01,6.240235099862079249e-01,-2.540671982505628090e+00,3.041615079488442496e-23,-1.944384396076202781e-02,1.943621519953012133e-02,4.571147486567284091e-03,6.374071664792341219e-03,-2.197418067290397847e-02,6.645948008971827581e-02
8.430980145931243896e-02,1.384095400571823120e-01,2.975848913192749023e+00,-1.467538326978683472e-01,-3.164601698517799377e-02,5.396250262856483459e-02,3.238246228365050383e-01,7.193283066700563166e-01,-2.608480299623694432e+00,1.215217763816474756e-24,2.935076653957369164e-03,6.329203397035521039e-04,-1.079250052571367746e-03,-6.476492456730098546e-03,-1.438656613340112689e-02,5.216960599247388863e-02
8.430980145931243896e-02,1.384095400571823120e-01,2.975848913192749023e+00,-1.467538326978683472e-01,-3.164601698517799377e-02,5.396250262856483459e-02,3.587170144985239451e-01,8.205609083215846811e-01,-2.608480299299643423e+00,2.115919913576410459e-19,-1.172856748104095237e-02,1.497393198311328111e-02,6.100487038493085379e-03,1.880269010649099348e-02,4.537347398617955219e-03,9.284867708455893376e-02
6.964615732431411743e-02,1.527505517005920410e-01,2.983028650283813477e+00,-1.207768023014068604e-01,-1.069745142012834549e-02,9.464157372713088989e-02,3.598971642927321635e-01,8.607441955577301851e-01,-2.771597689249266860e+00,1.935267041702468191e-23,-4.413956701755525347e-03,1.187985951080919311e-02,8.625720441339801425e-04,1.806186442002456760e-02,2.445171973601784760e-02,7.170861881689527539e-02
