x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
2.275109440088272095e-01,-9.765652939677238464e-03,3.059831380844116211e+00,8.008851408958435059e-01,7.148893475532531738e-01,2.391142025589942932e-02,2.287947772633272259e-01,1.097975244337649342e-01,-2.696612893468753214e+00,4.732375449038359588e-24,4.559277236461639626e-02,6.052302025258540774e-02,7.375279590487338055e-03,5.471540215231551763e-03,3.167931099306908749e-03,4.607281921161444221e-02
2.891214191913604736e-01,6.505515426397323608e-02,3.067684888839721680e+00,8.109325766563415527e-01,7.202532291412353516e-01,1.605198159813880920e-02,1.343104269153609087e-01,5.046062307010644454e-02,-2.683284444406920155e+00,1.033752184289190736e-24,-1.621865153312684882e-02,-1.440506458282470037e-02,-3.210396319626163120e-04,-2.686208538307255367e-03,-1.009212461402175798e-03,5.366568888813840615e-02
2.891214191913604736e-01,6.505515426397323608e-02,3.067684888839721680e+00,8.109325766563415527e-01,7.202532291412353516e-01,1.605198159813880920e-02,2.059048487645476211e-01,8.245200644225009201e-02,-2.683284444397807889e+00,-2.306957679474342022e-23,3.169317126274107110e-02,4.361367195844650935e-02,4.366269633174102438e-03,5.352246614491740218e-03,2.399843786102473508e-03,4.982235717845202860e-02
3.370332419872283936e-01,1.230738908052444458e-01,3.072372198104858398e+00,8.204029202461242676e-01,7.243021130561828613e-01,1.220864988863468170e-02,1.333054583219142331e-01,3.886616472165592417e-02,-2.678433481346780276e+00,1.992091835039989132e-23,1.008781552314758079e-02,2.025081455707550271e-02,1.889911703765179141e-03,2.974278368656935179e-03,2.122979115692591456e-03,5.217963460318673224e-02
3.635291159152984619e-01,1.578107476234436035e-01,3.074506282806396484e+00,8.260433077812194824e-01,7.272024154663085938e-01,1.081961486488580704e-02,1.212053520197508560e-01,2.348492059031887999e-02,-2.677546296240635559e+00,1.474955245771538400e-23,-1.652086615562436966e-02,-1.454404830932617965e-02,-2.163922972977516679e-04,-2.424107040394973822e-03,-4.696984118063296521e-04,5.355092592481271174e-02
3.635291159152984619e-01,1.578107476234436035e-01,3.074506282806396484e+00,8.260433077812194824e-01,7.272024154663085938e-01,1.081961486488580704e-02,1.918583831403623541e-01,5.471825896041847270e-02,-2.677546296231094303e+00,1.430557602945936021e-23,3.910472154617311569e-02,5.234108030796050248e-02,5.665155630558693645e-03,8.324742871097745578e-03,2.333617151113909216e-03,5.180261552258617203e-02
4.191547036170959473e-01,2.246958762407302856e-01,3.080387830734252930e+00,8.382052183151245117e-01,7.306303977966308594e-01,9.071304462850093842e-03,9.387508907065299224e-02,1.850694666450090810e-03,-2.682718742418627400e+00,5.010022326996885099e-24,-1.676410436630249023e-02,-1.461260795593261053e-02,-1.814260892571972761e-04,-1.877501781413104531e-03,-3.701389332899651663e-05,5.365437484837255050e-02
4.191547036170959473e-01,2.246958762407302856e-01,3.080387830734252930e+00,8.382052183151245117e-01,7.306303977966308594e-01,9.071304462850093842e-03,1.570199867867057286e-01,2.955603718980538350e-02,-2.682718742411329238e+00,1.609586062842221699e-23,4.112800955772399902e-02,4.766943275928497981e-02,1.225401015952209960e-02,8.468022066786651258e-03,-1.334688687369078863e-03,5.401049956224349829e-02
4.770468175411224365e-01,2.869779169559478760e-01,3.092823266983032227e+00,8.498136401176452637e-01,7.298868298530578613e-01,9.427429176867008209e-03,7.403877712778748899e-02,-2.811460578058194194e-03,-2.708497534082880520e+00,4.985935214768750269e-24,-1.699627280235288529e-02,-1.459773659706115057e-02,-1.885485835373401642e-04,-1.480775542555767821e-03,5.622921156112070662e-05,5.416995068165761373e-02
4.770468175411224365e-01,2.869779169559478760e-01,3.092823266983032227e+00,8.498136401176452637e-01,7.298868298530578613e-01,9.427429176867008209e-03,1.343182366737822320e-01,2.340624789271236045e-02,-2.708497534077912494e+00,-6.752139646464309846e-24,4.603328466415407272e-02,4.477203607559204768e-02,6.101887207478284836e-03,8.917944348555639777e-03,-4.488339038664745928e-03,5.150421443470418192e-02
5.400763750076293945e-01,3.463476896286010742e-01,3.099113702774047852e+00,8.614179491996765137e-01,7.258666157722473145e-01,6.761692930012941360e-03,2.485584890308865924e-02,-6.509585703066334342e-03,-2.711114657708848963e+00,1.758234677085581502e-23,-1.722835898399355248e-02,-1.451733231544494185e-02,-1.352338586002588272e-04,-4.971169780617623601e-04,1.301917140613673141e-04,5.422229315417698148e-02
5.400763750076293945e-01,3.463476896286010742e-01,3.099113702774047852e+00,8.614179491996765137e-01,7.258666157722473145e-01,6.761692930012941360e-03,9.409249734633128026e-02,2.334905366431263771e-02,-2.711114657732494937e+00,-7.197734538823329486e-24,4.900557398796079323e-02,4.259410977363586870e-02,3.215024014934897423e-03,8.896994409610226029e-03,-7.444598813917346902e-03,4.717485931197786669e-02
6.063103079795837402e-01,4.034591317176818848e-01,3.102463960647583008e+00,8.721967935562133789e-01,7.188889980316162109e-01,-2.857409126590937376e-04,-8.465402129514389140e-03,6.124141348001407685e-03,-2.691897212523797656e+00,5.046740958662048729e-24,-1.744393587112424981e-02,-1.437777996063233088e-02,5.714818253288456162e-06,1.693080425902993014e-04,-1.224828269600353181e-04,5.383794425047595117e-02
6.063103079795837402e-01,4.034591317176818848e-01,3.102463960647583008e+00,8.721967935562133789e-01,7.188889980316162109e-01,-2.857409126590937376e-04,7.101698959073081407e-02,4.004539531036878375e-02,-2.691897212558507668e+00,-5.249731022414107666e-20,5.288292884826661933e-02,3.627055168151854803e-02,1.928799077286491581e-03,8.179047853906773469e-03,-1.260638266435554211e-02,4.615386894849292376e-02
6.766371726989746094e-01,4.541074633598327637e-01,3.104387044906616211e+00,8.817961812019348145e-01,7.070835232734680176e-01,-7.969816215336322784e-03,-6.119457865519207368e-02,2.835095685121447398e-02,-2.667539217622726166e+00,-6.805089236407917696e-24,-1.763592362403865188e-02,-1.414167046546938034e-02,1.593963243067264557e-04,1.223891573103874642e-03,-5.670191370242827489e-04,5.335078435245452222e-02
6.766371726989746094e-01,4.541074633598327637e-01,3.104387044906616211e+00,8.817961812019348145e-01,7.070835232734680176e-01,-7.969816215336322784e-03,-2.152804397984143820e-03,5.332314966313651816e-02,-2.667539217616956559e+00,-1.472093868927377019e-23,4.552461504936222703e-02,2.915246129035947709e-02,3.207577858120203018e-03,5.859813766945332070e-03,-1.346416950189921469e-02,5.038342671684108848e-02
7.397977113723754883e-01,4.974015951156616211e-01,3.107435226440429688e+00,8.876129388809204102e-01,6.946858167648315430e-01,-1.093717385083436966e-02,-1.024911124612550711e-01,5.286067249288334963e-02,-2.662670495036111973e+00,7.601285981294450527e-24,-1.775225877761843485e-02,-1.389371633529667971e-02,2.187434770166696296e-04,2.049822249225119464e-03,-1.057213449857652421e-03,5.325340990072224834e-02
7.397977113723754883e-01,4.974015951156616211e-01,3.107435226440429688e+00,8.876129388809204102e-01,6.946858167648315430e-01,-1.093717385083436966e-02,-3.181002372847082510e-02,8.247405358877517301e-02,-2.662670495031231432e+00,-1.950515197499289549e-23,5.941292762756344992e-02,3.732157468795771482e-02,4.667634163051825880e-03,3.789524601766736112e-03,-1.705048681670962019e-02,5.437353856946933184e-02
8.169628977775573730e-01,5.486168861389160156e-01,3.111884117126464844e+00,8.907662630081176758e-01,6.792848110198974609e-01,-9.817045181989669800e-03,-1.456133188759629327e-01,8.318760427395660573e-02,-2.675528928438774656e+00,-1.029144452664802763e-23,-1.781532526016238460e-02,-1.358569622039795810e-02,1.963409036398466867e-04,2.912266377519290295e-03,-1.663752085479086595e-03,5.351057856877550201e-02
8.169628977775573730e-01,5.486168861389160156e-01,3.111884117126464844e+00,8.907662630081176758e-01,6.792848110198974609e-01,-9.817045181989669800e-03,-6.802427756627220379e-02,1.153193186622774591e-01,-2.675528928454926625e+00,-5.371651689175259452e-20,4.888596773147579899e-02,3.308414459228514737e-02,6.421688422560745124e-03,-2.148380281957074089e-03,-1.458303584834319544e-02,5.502213559679609844e-02
8.836641907691955566e-01,5.952867269515991211e-01,3.118109464645385742e+00,8.872573971748352051e-01,6.670081615447998047e-01,-8.305488154292106628e-03,-1.506822841743489239e-01,1.107551413312558297e-01,-2.693317253446381176e+00,-1.505595297243069541e-23,-1.774514794349668634e-02,-1.334016323089604050e-02,1.661097630858421326e-04,3.013645683486942950e-03,-2.215102826625070520e-03,5.386634506892762353e-02
8.836641907691955566e-01,5.952867269515991211e-01,3.118109464645385742e+00,8.872573971748352051e-01,6.670081615447998047e-01,-8.305488154292106628e-03,-7.398553804334810635e-02,1.421512188697926782e-01,-2.693317253417871093e+00,5.685662068697239253e-24,5.668060898780824530e-02,4.639501571655268997e-02,3.308705054223537445e-03,-1.004431086465185086e-02,-1.263046467738360157e-02,5.164184012069506641e-02
9.580899477005004883e-01,6.550219058990478516e-01,3.121252059936523438e+00,8.757333755493164062e-01,6.572207212448120117e-01,-1.052999310195446014e-02,-1.327213843816356653e-01,1.266064331970995493e-01,-2.691355040971330936e+00,-5.925587869281651132e-20,-1.751466751098629260e-02,-1.314441442489622247e-02,2.105998620391957843e-04,2.654427687632687771e-03,-2.532128663942034841e-03,5.382710081942662650e-02
9.580899477005004883e-01,6.550219058990478516e-01,3.121252059936523438e+00,8.757333755493164062e-01,6.572207212448120117e-01,-1.052999310195446014e-02,-5.738516859272383558e-02,1.570188841718535011e-01,-2.691355040887549510e+00,1.689471052992987372e-24,4.022172927856448865e-02,3.848357915878297675e-02,-3.911686316131479657e-04,-1.390294627108989989e-02,-7.130491418636086820e-03,4.873072487552077003e-02
1.015826344490051270e+00,7.066498994827270508e-01,3.120650291442871094e+00,8.606827259063720703e-01,6.532306075096130371e-01,-1.562636904418468475e-02,-8.825423803913658161e-02,1.317197037218734157e-01,-2.671505249459317888e+00,-5.509521925633581610e-20,-1.721365451812739700e-02,-1.306461215019227851e-02,3.125273808834982958e-04,1.765084760782742457e-03,-2.634394074437440558e-03,5.343010498918634998e-02
1.015826344490051270e+00,7.066498994827270508e-01,3.120650291442871094e+00,8.606827259063720703e-01,6.532306075096130371e-01,-1.562636904418468475e-02,-3.499770980229558598e-02,1.529682787077815964e-01,-2.671505249419290795e+00,1.358204698001356475e-25,3.596930503845219285e-02,3.487212538719175470e-02,-4.227439202368454829e-03,-1.849983437435809286e-02,-5.249419037137825761e-03,4.873877799766221375e-02
1.069009304046630859e+00,7.545866370201110840e-01,3.116110324859619141e+00,8.414829373359680176e-01,6.510405540466308594e-01,-2.031769603490829468e-02,-3.239328196593434239e-02,1.330462180382192272e-01,-2.645388082052992473e+00,1.523475371154366937e-23,-1.682965874671937812e-02,-1.302081108093267048e-02,4.063539206979882579e-04,6.478656393187343099e-04,-2.660924360764371777e-03,5.290776164105984170e-02
1.069009304046630859e+00,7.545866370201110840e-01,3.116110324859619141e+00,8.414829373359680176e-01,6.510405540466308594e-01,-2.031769603490829468e-02,3.598123389121297283e-02,1.599719252030039063e-01,-2.645388082042534617e+00,-1.658390866717509727e-23,3.797514319419859063e-02,3.321582317352289593e-02,-2.818257361650644555e-03,-1.936354033105303074e-02,-3.455678871949530162e-03,5.230776079744497986e-02
1.123814105987548828e+00,8.008232712745666504e-01,3.112885713577270508e+00,8.228390216827392578e-01,6.507843136787414551e-01,-2.091769687831401825e-02,3.520687935893253295e-02,1.388804160516719233e-01,-2.636844147040869224e+00,5.776210119554517050e-24,2.252751827239984905e-02,1.850736260414120871e-02,-9.945145621896855914e-04,-1.250943353139255532e-02,-2.174111292682634478e-03,5.531285785226872087e-02
1.162798404693603516e+00,8.323463201522827148e-01,3.111472845077514648e+00,8.110337257385253906e-01,6.513878107070922852e-01,-1.834172196686267853e-02,5.831986664249007996e-02,1.345335451458888609e-01,-2.643497933297977553e+00,4.231767160888692225e-24,-1.622067451477060551e-02,-1.302775621414187235e-02,3.668344393372713341e-04,-1.166397332849844481e-03,-2.690670902917746687e-03,5.286995866595955995e-02
1.162798404693603516e+00,8.323463201522827148e-01,3.111472845077514648e+00,8.110337257385253906e-01,6.513878107070922852e-01,-1.834172196686267853e-02,1.266695088228559640e-01,1.608269292426418862e-01,-2.643497933294840951e+00,1.785688675503245487e-23,3.774620532989492183e-02,4.007187604904172140e-02,-3.996812924742521034e-04,-2.057780231253503178e-02,2.941749924176839670e-04,5.804398735307590707e-02
1.216765284538269043e+00,8.854459524154663086e-01,3.110706329345703125e+00,7.929893136024475098e-01,6.548985242843627930e-01,-1.316769327968358994e-02,1.272713840247903239e-01,1.250640426887534573e-01,-2.660939173490725729e+00,1.065799129277244380e-24,-1.585978627204887026e-02,-1.309797048568728250e-02,2.633538655936185080e-04,-2.545427680495815359e-03,-2.501280853775100788e-03,5.321878346981451235e-02
1.216765284538269043e+00,8.854459524154663086e-01,3.110706329345703125e+00,7.929893136024475098e-01,6.548985242843627930e-01,-1.316769327968358994e-02,1.966100187783997866e-01,1.513110514523051675e-01,-2.660939173483090503e+00,-2.774252595579648924e-24,2.631789088249214537e-02,3.184977293014523703e-02,1.179834883660024758e-03,-1.534631103612094094e-02,1.030411489722160567e-03,5.716204050348672183e-02
1.258942961692810059e+00,9.303936958312988281e-01,3.111622810363769531e+00,7.815752029418945312e-01,6.589551568031311035e-01,-9.224436245858669281e-03,1.868167680560803567e-01,1.156432468466685598e-01,-2.677185069628397862e+00,1.171589837232139897e-23,-1.563150405883795280e-02,-1.317910313606263095e-02,1.844887249173865484e-04,-3.736335361121612131e-03,-2.312864936933389792e-03,5.354370139256794947e-02
1.258942961692810059e+00,9.303936958312988281e-01,3.111622810363769531e+00,7.815752029418945312e-01,6.589551568031311035e-01,-9.224436245858669281e-03,2.513634681194776843e-01,1.397273231911344005e-01,-2.677185069622418201e+00,-2.498400762773227692e-24,3.396242141723626595e-02,4.025073885917662686e-02,8.612585496157620923e-03,-1.378480100530332653e-02,2.020376345778118754e-03,5.710589708465975411e-02
1.308536887168884277e+00,9.838235378265380859e-01,3.120050907135009766e+00,7.728176712989807129e-01,6.637700796127319336e-01,-5.662240553647279739e-03,2.346657043417999799e-01,9.932512302021882789e-02,-2.706819127275890136e+00,1.461181199325850554e-24,-1.545635342597950768e-02,-1.327540159225459870e-02,1.132448110729988855e-04,-4.693314086836042343e-03,-1.986502460404326875e-03,5.413638254551780132e-02
1.308536887168884277e+00,9.838235378265380859e-01,3.120050907135009766e+00,7.728176712989807129e-01,6.637700796127319336e-01,-5.662240553647279739e-03,3.012293933722673955e-01,1.237421655750837179e-01,-2.706819127269302072e+00,-1.090464359620169763e-23,3.003975272178660560e-02,3.804229021072391692e-02,3.975148955360108260e-03,-6.909120795912104818e-03,2.519847106741690546e-03,5.290621345773765388e-02
1.354032993316650391e+00,1.035141229629516602e+00,3.123912811279296875e+00,7.719331383705139160e-01,6.687647700309753418e-01,-6.892409641295671463e-03,2.688115505214709322e-01,8.331689005475152732e-02,-2.709914351318327697e+00,-1.746379483117370714e-23,-1.543866276741034937e-02,-1.337529540061943578e-02,1.378481928258068478e-04,-5.376231010429388668e-03,-1.666337801095041371e-03,5.419828702636655254e-02
1.354032993316650391e+00,1.035141229629516602e+00,3.123912811279296875e+00,7.719331383705139160e-01,6.687647700309753418e-01,-6.892409641295671463e-03,3.477666663155267734e-01,1.117539053727072268e-01,-2.709914351314469005e+00,1.554579856366390775e-24,3.567363142967217016e-02,4.603003144264228297e-02,2.808374697342408410e-03,1.065160780577834032e-06,3.396785963438175848e-03,4.782687040910450077e-02
1.405145287513732910e+00,1.094546556472778320e+00,3.126583337783813477e+00,7.788895368576049805e-01,6.743966341018676758e-01,-1.326382625848054886e-02,2.657872333506383633e-01,5.506512647496162455e-02,-2.691835017803335006e+00,-1.794605747166711956e-24,-1.557779073715215290e-02,-1.348793268203740681e-02,2.652765251696109772e-04,-5.315744667012789471e-03,-1.101302529499248450e-03,5.383670035606669124e-02
1.405145287513732910e+00,1.094546556472778320e+00,3.126583337783813477e+00,7.788895368576049805e-01,6.743966341018676758e-01,-1.326382625848054886e-02,3.315495408627834317e-01,7.834858160829623330e-02,-2.691835017799566021e+00,-3.327412923647090942e-24,2.557134866714472210e-02,3.924608469009394085e-02,5.257523152977228165e-03,4.150476143651271599e-03,3.789280561285024440e-03,5.015376381425519503e-02
1.446294426918029785e+00,1.147280573844909668e+00,3.131575584411621094e+00,7.896710038185119629e-01,6.797528862953186035e-01,-1.694676280021667480e-02,2.734006439569753311e-01,3.304964038812411437e-02,-2.688171655500798618e+00,1.570478188130213690e-23,8.947633504867491538e-03,1.548557162284858180e-02,2.428197264671361211e-03,3.037808348887782728e-03,1.670562081916515673e-03,5.256508172680673940e-02
1.471035480499267578e+00,1.176361203193664551e+00,3.133664846420288086e+00,7.981768250465393066e-01,6.820844411849975586e-01,-1.814511418342590332e-02,2.546265224388361559e-01,1.769574324026890536e-02,-2.687894631067080820e+00,-8.983581060060980833e-24,-1.596353650093074172e-02,-1.364168882369987124e-02,3.629022836686424114e-04,-5.092530448776777519e-03,-3.539148648054046831e-04,5.375789262134161861e-02
1.471035480499267578e+00,1.176361203193664551e+00,3.133664846420288086e+00,7.981768250465393066e-01,6.820844411849975586e-01,-1.814511418342590332e-02,3.120142206252169426e-01,3.747518319691914290e-02,-2.687894631069715601e+00,-1.898194822853893571e-23,3.010548949241642624e-02,4.358592271804817564e-02,4.550486207008486161e-03,1.184698346316703788e-02,2.095664449770162641e-03,5.196979425632587690e-02
1.517104506492614746e+00,1.233588814735412598e+00,3.137852430343627930e+00,8.162640929222106934e-01,6.849296092987060547e-01,-1.993321254849433899e-02,2.305862596318561386e-01,-6.500661472658405063e-03,-2.689587421980490500e+00,-1.704421299524031367e-23,-1.632528185844428492e-02,-1.369859218597402339e-02,3.986642509699045434e-04,-4.611725192637083914e-03,1.300132294531630706e-04,5.379174843960982111e-02
1.517104506492614746e+00,1.233588814735412598e+00,3.137852430343627930e+00,8.162640929222106934e-01,6.849296092987060547e-01,-1.993321254849433899e-02,3.129081539895476882e-01,2.126227661679778655e-02,-2.689587421982467585e+00,2.106677205938839425e-23,4.907841801643364477e-02,5.500339031219492192e-02,-5.633547157049001441e-04,2.067508973164089436e-02,-6.411335557123809537e-04,4.990549579797148860e-02
1.582508206367492676e+00,1.302290797233581543e+00,3.136890411376953125e+00,8.431973457336425781e-01,6.847137212753295898e-01,-2.381946519017219543e-02,1.571722376724176973e-01,-3.270573748891202059e-02,-2.673460679623981928e+00,1.658951857450355877e-23,-1.686394691467274498e-02,-1.369427442550663621e-02,4.763893038033373273e-04,-3.143444753448298989e-03,6.541147497782784370e-04,5.346921359247963634e-02
1.582508206367492676e+00,1.302290797233581543e+00,3.136890411376953125e+00,8.431973457336425781e-01,6.847137212753295898e-01,-2.381946519017219543e-02,2.208302267142064068e-01,-1.171663155220179289e-02,-2.673460679653661298e+00,-5.102625171033272821e-20,4.460346221923838783e-02,4.324079751968379348e-02,-3.959388360381232985e-03,2.029995153795094431e-02,-3.207060744352729920e-03,4.977217775887998741e-02
1.643975615501403809e+00,1.359225869178771973e+00,3.132454633712768555e+00,8.679139018058776855e-01,6.812723278999328613e-01,-2.751650102436542511e-02,8.076828148175882460e-02,-4.709224989073981099e-02,-2.651190152416944557e+00,1.330179673239819825e-23,-1.735827803611744713e-02,-1.362544655799857729e-02,5.503300204874328472e-04,-1.615365629635157063e-03,9.418449978148002444e-04,5.302380304833889668e-02
1.643975615501403809e+00,1.359225869178771973e+00,3.132454633712768555e+00,8.679139018058776855e-01,6.812723278999328613e-01,-2.751650102436542511e-02,1.411744230856083471e-01,-2.761056396458714396e-02,-2.651190152416968093e+00,-1.119929417776180394e-23,5.507459759712229896e-02,4.790955424308784849e-02,-5.009829662740106215e-03,2.308837915684858189e-02,-6.755675798039817437e-03,5.138264875909376306e-02
1.716408491134643555e+00,1.420760869979858398e+00,3.126894474029541016e+00,8.938257694244384766e-01,6.739644408226013184e-01,-2.915765531361103058e-02,-2.573449535522456116e-02,-6.124674882591667202e-02,-2.634236351034491719e+00,-6.718384671125312277e-24,-1.787651538848877841e-02,-1.347928881645210630e-02,5.831531062723271930e-04,5.146899071044597207e-04,1.224934976518321506e-03,5.268472702068982549e-02
1.716408491134643555e+00,1.420760869979858398e+00,3.126894474029541016e+00,8.938257694244384766e-01,6.739644408226013184e-01,-2.915765531361103058e-02,4.613437035888075244e-02,-3.862707536877645065e-02,-2.634236351033165668e+00,-5.877851869186956726e-24,5.803405284881590909e-02,4.565412163734428042e-02,-8.857437595723993695e-04,2.068834746297010252e-02,-1.035224820743774199e-02,5.618670479218393354e-02
1.792319059371948242e+00,1.479894280433654785e+00,3.125425577163696289e+00,9.154368042945861816e-01,6.628396511077880859e-01,-2.565567754209041595e-02,-1.123752754961354072e-01,-6.187226129732660562e-02,-2.644171344557896042e+00,-1.518135461286783991e-23,-1.830873608589178581e-02,-1.325679302215565514e-02,5.131135508418260827e-04,2.247505509922698153e-03,1.237445225946487426e-03,5.288342689115792250e-02
1.792319059371948242e+00,1.479894280433654785e+00,3.125425577163696289e+00,9.154368042945861816e-01,6.628396511077880859e-01,-2.565567754209041595e-02,-4.861389923877428715e-02,-4.234158304175961174e-02,-2.644171344560513504e+00,-1.881594178394585244e-23,5.263414263725274544e-02,3.796112060546885658e-02,6.761918589472948327e-04,1.422221170441051452e-02,-1.228538288536840106e-02,5.861134570980329472e-02
1.863261938095092773e+00,1.531112194061279297e+00,3.125588655471801758e+00,9.286867380142211914e-01,6.497074365615844727e-01,-1.992775872349739075e-02,-1.929150268705310811e-01,-5.968931676842093720e-02,-2.665470759808930001e+00,2.525463646665238568e-24,-1.857373476028434389e-02,-1.299414873123172498e-02,3.985551744700721599e-04,3.858300537410652709e-03,1.193786335368374196e-03,5.330941519617860003e-02
1.863261938095092773e+00,1.531112194061279297e+00,3.125588655471801758e+00,9.286867380142211914e-01,6.497074365615844727e-01,-1.992775872349739075e-02,-1.235306155991272026e-01,-3.895197017273027001e-02,-2.665470759810246282e+00,-1.677854513447127150e-24,4.330995321273811705e-02,2.526142358779903674e-02,-1.579137891529747151e-04,6.293058181428334841e-03,-1.506608054970093313e-02,5.699474244299009007e-02
1.925145626068115234e+00,1.569367766380310059e+00,3.125032186508178711e+00,9.325091838836669922e-01,6.338623166084289551e-01,-1.624243147671222687e-02,-2.332346334259411125e-01,-4.081119878318671679e-02,-2.677873041117804664e+00,2.173115785854545537e-24,-1.865018367767334873e-02,-1.267724633216849028e-02,3.248486295341912466e-04,4.664692668518877205e-03,8.162239756637212906e-04,5.355746082235610106e-02
1.925145626068115234e+00,1.569367766380310059e+00,3.125032186508178711e+00,9.325091838836669922e-01,6.338623166084289551e-01,-1.624243147671222687e-02,-1.728595692480863755e-01,-2.317756698342473762e-02,-2.677873041111717534e+00,-1.393305028700040859e-23,5.244897842407225674e-02,2.902418971061715425e-02,-7.187094911933478159e-04,5.211261879707329570e-04,-1.812332266851024443e-02,5.388355783380051334e-02
