x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
-4.523247480392456055e-02,1.980523206293582916e-02,3.038477897644042969e+00,-3.509876551106572151e-03,-3.011520206928253174e-02,-3.846709430217742920e-02,1.148188838706686588e-01,3.073797248172967581e-02,-2.393877415850992563e+00,0.000000000000000000e+00,7.019753102213005524e-05,6.023040413856498021e-04,7.693418860434952933e-04,-2.296377677413373279e-03,-6.147594496345928916e-04,4.787754831701984681e-02
-4.523247480392456055e-02,1.980523206293582916e-02,3.038477897644042969e+00,-3.509876551106572151e-03,-3.011520206928253174e-02,-3.846709430217742920e-02,1.194678635050513138e-01,1.852628173422874447e-01,-2.393877418932319312e+00,3.326181449701205988e-23,-1.758390848990529914e-02,-1.062535025179386222e-02,-3.573452532291465644e-03,6.622375842755719166e-03,-1.459146578097467173e-03,4.820668522709609105e-02
-6.288658082485198975e-02,8.577577769756317139e-03,3.034135103225708008e+00,5.501856561750173569e-03,-2.786909230053424835e-02,-3.813795745372772217e-02,1.464811861840812357e-01,3.105886624589410117e-01,-2.386535717937328105e+00,-2.847803176063421749e-23,-1.100371312350023612e-04,5.573818460106842732e-04,7.627591490746432612e-04,-2.929623723681624298e-03,-6.211773249178820233e-03,4.773071435874656765e-02
-6.288658082485198975e-02,8.577577769756317139e-03,3.034135103225708008e+00,5.501856561750173569e-03,-2.786909230053424835e-02,-3.813795745372772217e-02,1.554225764271118804e-01,3.851331918429240497e-01,-2.386535716571658750e+00,-6.120383845621242405e-24,-1.412912709638475262e-03,-9.078177087940276363e-03,-6.875933706760317676e-03,6.965996777571243845e-03,-8.628007320544927444e-03,5.120444322662054404e-02
-6.418945640325546265e-02,-1.057981164194643497e-03,3.026496410369873047e+00,1.557630486786365509e-02,-2.879443578422069550e-02,-3.466422855854034424e-02,1.441017167418397471e-01,4.798158157318974659e-01,-2.384224321240140831e+00,-2.056356324038814185e-23,-3.115260973572675507e-04,5.758887156844139533e-04,6.932845711706825398e-04,-2.882034334836795775e-03,-9.596316314637948208e-03,4.768448642480281607e-02
-6.418945640325546265e-02,-1.057981164194643497e-03,3.026496410369873047e+00,1.557630486786365509e-02,-2.879443578422069550e-02,-3.466422855854034424e-02,1.610760007289928908e-01,5.716225536919270489e-01,-2.384224320535914821e+00,-8.758835352183544031e-24,4.296691529452806302e-03,-3.289362951181829149e-03,-4.777229726314669023e-03,1.277647281390849321e-02,-1.663426746441196147e-03,1.163791636146119524e-01
-5.958123877644538879e-02,-4.923232831060886383e-03,3.021025896072387695e+00,3.157429769635200500e-02,-1.902541145682334900e-02,3.403044864535331726e-02,1.271069485086086526e-01,6.463465821640010933e-01,-2.625051370545477880e+00,-3.680993794157998864e-23,-6.314859539270425981e-04,3.805082291364666330e-04,-6.806089729072262173e-04,-2.542138970172171109e-03,-1.292693164328002214e-02,5.250102741090956204e-02
-5.958123877644538879e-02,-4.923232831060886383e-03,3.021025896072387695e+00,3.157429769635200500e-02,-1.902541145682334900e-02,3.403044864535331726e-02,1.496937724805914860e-01,7.346984595151826447e-01,-2.625051370525520955e+00,-1.021559652086105525e-23,1.321830146014690149e-02,5.811973044183104883e-03,1.108057953417285191e-02,2.532070010332854171e-02,3.508007965963665098e-02,1.259556719415220183e-01
-8.055330254137516022e-03,4.058630391955375671e-02,3.063959836959838867e+00,1.187791898846626282e-01,2.569191157817840576e-01,3.361610695719718933e-02,-1.139856108903557902e-02,7.042497450724809482e-01,-2.708033191835374609e+00,-3.555766410960989806e-24,-2.375583797693252286e-03,-5.138382315635681152e-03,-6.723221391440326045e-04,2.279712217807122743e-04,-1.408499490144959898e-02,5.416066383670749274e-02
-8.055330254137516022e-03,4.058630391955375671e-02,3.063959836959838867e+00,1.187791898846626282e-01,2.569191157817840576e-01,3.361610695719718933e-02,4.431258651865113696e-02,8.134137544644823858e-01,-2.708033191642382764e+00,-1.514277568187893530e-23,2.343264345079660443e-02,5.115437880158424377e-02,-2.396088466048329479e-03,2.163465549285162326e-02,1.564578792381029482e-01,-1.068632865982812458e-02
