x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
4.540592432022094727e-01,3.632219731807708740e-01,3.085661411285400391e+00,3.110646307468414307e-01,2.159525007009506226e-01,3.466641530394554138e-02,1.981835981663248314e-01,1.642410968837267338e-01,-2.753933214401395713e+00,-6.031357574889695055e-22,-6.221292614936813070e-03,-4.319050014018999128e-03,-6.933283060788220098e-04,-3.963671963326476089e-03,-3.284821937674542447e-03,5.507866428802791342e-02
4.540592432022094727e-01,3.632219731807708740e-01,3.085661411285400391e+00,3.110646307468414307e-01,2.159525007009506226e-01,3.466641530394554138e-02,3.243652791127225044e-01,2.181820274748514366e-01,-2.753933211228774436e+00,3.397160951767581788e-23,7.755828082561494474e-02,2.714966922998429677e-02,3.872149065136998303e-03,1.017414970987147727e-01,-2.503389147085199884e-04,1.213391440732333043e-02
5.378388166427612305e-01,3.946906924247741699e-01,3.090226888656616211e+00,4.192934334278106689e-01,2.200658023357391357e-01,-8.278334513306617737e-03,-2.733599899379766593e-02,2.313777961788054116e-01,-2.605633835584950209e+00,3.972518801644639554e-24,-8.385868668556173411e-03,-4.401316046714787156e-03,1.655666902662389361e-04,5.467199798759314611e-04,-4.627555923576109898e-03,5.211267671169900195e-02
5.378388166427612305e-01,3.946906924247741699e-01,3.090226888656616211e+00,4.192934334278106689e-01,2.200658023357391357e-01,-8.278334513306617737e-03,1.048144557502170143e-01,2.868687449520926913e-01,-2.605633835569476808e+00,2.557464321841871574e-23,9.217753827571872893e-02,2.539146959781646284e-02,7.209405191242801436e-03,8.542189626211665887e-02,3.966961624967846323e-03,4.539697481841754173e-02
6.384022235870361328e-01,4.244834780693054199e-01,3.097270727157592773e+00,5.068116188049316406e-01,2.297701388597488403e-01,-1.499403640627861023e-02,-2.273602178535544804e-01,2.926755738298193465e-01,-2.594900782828336805e+00,2.886759950447429670e-23,-1.013623237609861949e-02,-4.595402777195001232e-03,2.998807281255899682e-04,4.547204357071121805e-03,-5.853511476596379159e-03,5.189801565656673721e-02
6.384022235870361328e-01,4.244834780693054199e-01,3.097270727157592773e+00,5.068116188049316406e-01,2.297701388597488403e-01,-1.499403640627861023e-02,-8.758417245006606955e-02,3.502242727598746108e-01,-2.594900782804668626e+00,1.377589086087510111e-23,8.066137075424195668e-02,1.724877566099164428e-02,1.058430455625058997e-02,3.502579758092883022e-02,1.520565060074885455e-02,8.035924098692298623e-02
7.291998267173767090e-01,4.463276565074920654e-01,3.107555150985717773e+00,5.400857329368591309e-01,2.519802749156951904e-01,1.346718892455101013e-02,-2.471415122701318690e-01,3.441902167823690517e-01,-2.719380820167402124e+00,-1.964221435874025071e-23,-1.080171465873713821e-02,-5.039605498313892706e-03,-2.693437784908603305e-04,4.942830245402651812e-03,-6.883804335647392136e-03,5.438761640334804220e-02
7.291998267173767090e-01,4.463276565074920654e-01,3.107555150985717773e+00,5.400857329368591309e-01,2.519802749156951904e-01,1.346718892455101013e-02,-1.213706213650027205e-01,3.948924467446781050e-01,-2.719380820144033706e+00,-1.299130185033450260e-23,6.835182309150700242e-02,2.000301778316498913e-02,-1.893451139330704081e-03,-1.054029329932348880e-02,2.610877647900111675e-02,6.887929182447624643e-02
8.083533644676208496e-01,4.713702797889709473e-01,3.105931043624877930e+00,5.271180272102355957e-01,2.859869003295898438e-01,2.795886434614658356e-02,-1.608764707479748701e-01,3.514426135985981858e-01,-2.769260020334321393e+00,-1.035867758445067172e-23,-1.054236054420476520e-02,-5.719738006591812418e-03,-5.591772869228961440e-04,3.217529414959452438e-03,-7.028852271971974819e-03,5.538520040668643007e-02
8.083533644676208496e-01,4.713702797889709473e-01,3.105931043624877930e+00,5.271180272102355957e-01,2.859869003295898438e-01,2.795886434614658356e-02,-4.087562863257459406e-02,3.989051010075971848e-01,-2.769260020184918236e+00,1.894558274518148889e-23,7.069519400596613323e-02,2.529196262359617586e-02,3.826532475650346043e-03,-3.515523165380418646e-02,3.623286838161199341e-02,3.944659708447067342e-02
8.895909190177917480e-01,5.023819804191589355e-01,3.110316753387451172e+00,4.911452829837799072e-01,3.301978707313537598e-01,1.202026102691888809e-02,-2.045993066197358476e-02,3.314217095809602887e-01,-2.719516635792601722e+00,2.252862320932172065e-23,-9.822905659675584822e-03,-6.603957414627048550e-03,-2.404052205382534169e-04,4.091986132394587194e-04,-6.628434191619181348e-03,5.439033271585203694e-02
8.895909190177917480e-01,5.023819804191589355e-01,3.110316753387451172e+00,4.911452829837799072e-01,3.301978707313537598e-01,1.202026102691888809e-02,9.484872405783685567e-02,3.761257758995381062e-01,-2.719516635768118640e+00,3.604753351529488270e-24,5.682313382625581166e-02,2.866220355033877176e-02,1.742283683270340333e-03,-4.489096704821909922e-02,4.147741987057429469e-02,2.908435469284659930e-02
9.562369585037231445e-01,5.376481413841247559e-01,3.112299442291259766e+00,4.481512904167175293e-01,3.791978061199188232e-01,-1.328571699559688568e-02,1.758656944686338708e-01,2.975291413307497024e-01,-2.630735872513771945e+00,9.749051622172473606e-24,-8.963025808334301736e-03,-7.583956122398372024e-03,2.657143399118488958e-04,-3.517313889372652991e-03,-5.950582826614980725e-03,5.261471745027543334e-02
9.562369585037231445e-01,5.376481413841247559e-01,3.112299442291259766e+00,4.481512904167175293e-01,3.791978061199188232e-01,-1.328571699559688568e-02,3.047313197106765181e-01,3.463887450830788195e-01,-2.630735873470784192e+00,6.633004338607576204e-24,5.088134884834294436e-02,3.870626270771027055e-02,6.378857418893879583e-04,-3.571524402231107675e-02,4.640202069732218826e-02,4.403157225330830982e-02
1.016081333160400391e+00,5.839383602142333984e-01,3.112671613693237305e+00,4.185306727886199951e-01,4.325276017189025879e-01,-2.186886221170425415e-02,3.673795485810026906e-01,2.471549506998797219e-01,-2.600032651786612803e+00,1.207783184091598829e-23,-8.370613455772391021e-03,-8.650552034378033994e-03,4.373772442338719202e-04,-7.347590971620077127e-03,-4.943099013997587221e-03,5.200065303573225828e-02
1.016081333160400391e+00,5.839383602142333984e-01,3.112671613693237305e+00,4.185306727886199951e-01,4.325276017189025879e-01,-2.186886221170425415e-02,4.850771123462629952e-01,2.907269045344164082e-01,-2.600032651770675773e+00,-7.459381677993565249e-19,4.917993605136872226e-02,3.774945855140687812e-02,7.075427323579575045e-03,-4.127286065208346511e-03,3.686164251043166917e-02,6.651137540064383513e-02
1.073631882667541504e+00,6.303383708000183105e-01,3.119309663772583008e+00,4.241049289703369141e-01,4.752037823200225830e-01,-7.358139846473932266e-03,4.437258608894202871e-01,2.031828912498777895e-01,-2.666242565530747122e+00,8.318236250543974085e-24,3.110432624816894531e-02,2.076667964458467353e-02,3.765403153374702327e-03,1.068444894203213202e-02,1.871667116403136211e-02,6.637041793278276869e-02
1.113218307495117188e+00,6.606091260910034180e-01,3.122927904129028320e+00,4.436638951301574707e-01,4.979841113090515137e-01,5.687426775693893433e-03,4.168446572263891370e-01,1.717103300212127204e-01,-2.721142996677002657e+00,-1.214900224689091452e-23,-8.873277902603060596e-03,-9.959682226181043596e-03,-1.137485355138245779e-04,-8.336893144527790511e-03,-3.434206600424261069e-03,5.442285993354005480e-02
1.113218307495117188e+00,6.606091260910034180e-01,3.122927904129028320e+00,4.436638951301574707e-01,4.979841113090515137e-01,5.687426775693893433e-03,5.308677842678207748e-01,2.124468086186094284e-01,-2.721142996661043423e+00,1.662218206965689543e-23,6.564182639122018159e-02,4.201437592506407359e-02,2.004600539803558235e-03,4.779752077567261948e-02,2.531049728786338715e-02,5.907043432071162198e-02
1.187733411788940430e+00,7.125831842422485352e-01,3.125046253204345703e+00,5.020787715911865234e-01,5.275435447692871094e-01,1.033500116318464279e-02,3.110313168762059433e-01,1.407779142335187361e-01,-2.742333875575259761e+00,-1.294545080787507051e-23,-1.004157543182371271e-02,-1.055087089538575551e-02,-2.067000232637283830e-04,-6.220626337524071126e-03,-2.815558284670394151e-03,5.484667751150519577e-02
1.187733411788940430e+00,7.125831842422485352e-01,3.125046253204345703e+00,5.020787715911865234e-01,5.275435447692871094e-01,1.033500116318464279e-02,4.363723684003043002e-01,1.844196264669329954e-01,-2.742333875549713529e+00,-6.148080509383586990e-24,8.179499626159669745e-02,5.555026292800901988e-02,2.969273868948185680e-03,8.322583021988450014e-02,1.758522044673560547e-02,3.902498823683221707e-02
1.279569983482360840e+00,7.786843180656433105e-01,3.128222227096557617e+00,5.940320491790771484e-01,5.488171577453613281e-01,-5.486688110977411270e-03,1.208693393583090553e-01,1.219150679249534908e-01,-2.690637777451704071e+00,-3.710160497109140509e-24,-1.188064098358143639e-02,-1.097634315490725321e-02,1.097337622195659890e-04,-2.417386787166186934e-03,-2.438301358499095350e-03,5.381275554903408587e-02
1.279569983482360840e+00,7.786843180656433105e-01,3.128222227096557617e+00,5.940320491790771484e-01,5.488171577453613281e-01,-5.486688110977411270e-03,2.742628262459916311e-01,1.735334054579997787e-01,-2.690637777450018309e+00,-1.092962291126712652e-23,9.675979137420664955e-02,5.711063861846921164e-02,-1.250682650133949636e-03,9.750888743794028368e-02,1.683107105988956853e-03,3.502241596360670256e-02
1.388210415840148926e+00,8.467712998390197754e-01,3.126861810684204102e+00,6.970261931419372559e-01,5.539709329605102539e-01,-2.427702769637107849e-02,-1.137282155331932748e-01,1.340308003136975734e-01,-2.619140840177977658e+00,1.562400870033114039e-23,-1.394052386283872735e-02,-1.107941865921024949e-02,4.855405539272439341e-04,2.274564310663862443e-03,-2.680616006274005869e-03,5.238281680355955094e-02
1.388210415840148926e+00,8.467712998390197754e-01,3.126861810684204102e+00,6.970261931419372559e-01,5.539709329605102539e-01,-2.427702769637107849e-02,2.725169967336796978e-02,1.797240879122574964e-01,-2.619140840176118701e+00,9.362465317043486105e-24,1.069633257389068781e-01,4.642583131790156692e-02,6.545663997530759559e-03,7.242952865149110409e-02,-1.012303810513848212e-02,5.765447696752097617e-02
1.509114265441894531e+00,9.042765498161315918e-01,3.132921934127807617e+00,7.700007557868957520e-01,5.474423766136169434e-01,-1.900536753237247467e-02,-3.036707218473113645e-01,1.727939728272016584e-01,-2.650375331246904498e+00,1.266395985505244862e-23,-1.540001511573785287e-02,-1.094884753227232110e-02,3.801073506473073849e-04,6.073414436946200645e-03,-3.455879456544019845e-03,5.300750662493808330e-02
1.509114265441894531e+00,9.042765498161315918e-01,3.132921934127807617e+00,7.700007557868957520e-01,5.474423766136169434e-01,-1.900536753237247467e-02,-1.584284389326205411e-01,2.179665429071128424e-01,-2.650375331250021560e+00,-3.276903116976487340e-24,1.138654124736786510e-01,3.464596390724183905e-02,3.573724217712737072e-03,3.202609794201305426e-02,-1.747491570845349784e-02,6.923330584468323501e-02
1.638379693031311035e+00,9.498713612556457520e-01,3.136115550994873047e+00,7.988582849502563477e-01,5.343267917633056641e-01,-2.779568312689661980e-03,-4.039896710158952797e-01,2.303427229087672556e-01,-2.716087627030081109e+00,1.439895872423152564e-24,-1.597716569900509143e-02,-1.068653583526613104e-02,5.559136625388205744e-05,8.079793420317948893e-03,-4.606854458175324574e-03,5.432175254060161995e-02
1.638379693031311035e+00,9.498713612556457520e-01,3.136115550994873047e+00,7.988582849502563477e-01,5.343267917633056641e-01,-2.779568312689661980e-03,-2.772287306046631317e-01,2.681431958363501566e-01,-2.716087627040145502e+00,1.191322707053963227e-23,1.077196383476257679e-01,3.137234926223753106e-02,9.920995449648195574e-04,-1.861104214816067248e-02,-1.569878615793796062e-02,5.268413844149406194e-02
