x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
2.740683257579803467e-01,1.329546868801116943e-01,2.929796218872070312e+00,-1.915816217660903931e-01,1.886088401079177856e-02,6.319564580917358398e-02,-1.326783809686442328e-01,-1.826733792907256348e-01,-2.552317304292654132e+00,0.000000000000000000e+00,3.831632435321807861e-03,-3.772176802158411224e-04,-1.263912916183329571e-03,2.653567619372881881e-03,3.653467585814512003e-03,5.104634608585308098e-02
2.740683257579803467e-01,1.329546868801116943e-01,2.929796218872070312e+00,-1.915816217660903931e-01,1.886088401079177856e-02,6.319564580917358398e-02,-1.300113490507294189e-01,-6.554455550742786796e-02,-2.552317302046831937e+00,-3.746158112275811860e-24,-1.856898516416549683e-02,2.324148043990134638e-02,-1.628216505050517071e-03,-1.884018959346356326e-02,-2.261309222162114635e-02,5.707882783052557057e-02
2.516677081584930420e-01,1.565733850002288818e-01,2.929431915283203125e+00,-2.130220383405685425e-01,-5.063099320977926254e-03,6.922812759876251221e-02,-1.388435180753394386e-02,5.342639673158752073e-02,-2.573694223275043491e+00,3.874003298049582020e-23,4.260440766811368629e-03,1.012619864195485331e-04,-1.384562551975054845e-03,2.776870361506922347e-04,-1.068527934631750137e-03,5.147388446550087149e-02
2.516677081584930420e-01,1.565733850002288818e-01,2.929431915283203125e+00,-2.130220383405685425e-01,-5.063099320977926254e-03,6.922812759876251221e-02,-5.688464279010254851e-03,1.342491429393851410e-01,-2.573694223234960887e+00,-3.755582450175211456e-23,-1.733028382062912209e-02,2.185551191680132344e-02,2.557572722436951551e-04,-1.209367919693321580e-02,-1.914694057051413018e-02,5.458683389564175648e-02
2.300769835710525513e-01,1.783276349306106567e-01,2.931072235107421875e+00,-2.252294868230819702e-01,-2.152505703270435333e-02,7.234107702970504761e-02,8.951561069795840875e-02,2.296636903552283782e-01,-2.588323729286224228e+00,4.774299486446323718e-24,4.504589736461644955e-03,4.305011406540992791e-04,-1.446821540594278588e-03,-1.790312213959172061e-03,-4.593273807104565620e-03,5.176647458572448263e-02
2.300769835710525513e-01,1.783276349306106567e-01,2.931072235107421875e+00,-2.252294868230819702e-01,-2.152505703270435333e-02,7.234107702970504761e-02,1.031621043271810922e-01,3.105625139570906690e-01,-2.588323729258182659e+00,2.757959721826076675e-23,-1.845681816339492243e-02,2.333804134279490738e-02,5.312583595514119850e-03,-7.400003561153001286e-03,-2.265617736060753645e-02,5.667161647521263418e-02
2.071155756711959839e-01,2.012351751327514648e-01,2.937831640243530273e+00,-2.305662482976913452e-01,-3.796998411417007446e-02,7.724621891975402832e-02,1.875627412182740983e-01,3.958667187750702365e-01,-2.619592123448750698e+00,3.815494641553119527e-23,4.611324965953816912e-03,7.593996822833903870e-04,-1.544924378395151621e-03,-3.751254824365474194e-03,-7.917334375501405841e-03,5.239184246897501257e-02
2.071155756711959839e-01,2.012351751327514648e-01,2.937831640243530273e+00,-2.305662482976913452e-01,-3.796998411417007446e-02,7.724621891975402832e-02,2.075016578395548483e-01,4.810002333528023977e-01,-2.619592123425760644e+00,3.865719523228096404e-23,-2.957219213247300194e-02,1.829033270478247486e-02,1.463702142238609838e-02,-2.947494547286405586e-03,-1.727201171041771455e-02,7.574074761463719940e-02
1.729320585727691650e-01,2.187661081552505493e-01,2.954013586044311523e+00,-2.293637096881866455e-01,-4.562199115753173828e-02,1.005951240658760071e-01,3.064223824565658338e-01,5.573881868190301292e-01,-2.736955386882851560e+00,-3.338930320809605046e-23,4.587274193763729579e-03,9.124398231506458679e-04,-2.011902481317662250e-03,-6.128447649131313346e-03,-1.114776373638060036e-02,5.473910773765703480e-02
1.729320585727691650e-01,2.187661081552505493e-01,2.954013586044311523e+00,-2.293637096881866455e-01,-4.562199115753173828e-02,1.005951240658760071e-01,3.316302057156772509e-01,6.409598465034941350e-01,-2.736955386855209671e+00,3.303214323297847519e-23,-2.468955874443054532e-02,1.407617032527924694e-02,1.169621214270577525e-02,8.868611939649162501e-03,1.280227499650005152e-02,6.602082903103043132e-02
